รหัสประเภท,หน่วย,ชื่อ,รายละเอียดโดยย่อ,ราคาขาย/ต่อหน่วย,สต็อกขั้นต่ำให้แจ้งเตือน,บาร์โค้ด (ถ้ามี)
CAT010,กล่อง,ตะปูคอนกรีต WT50  HI-TOP,,220,24,8858673901603
CAT010,กล่อง,ตะปูคอนกรีต FST18 HI-TOP,,160,24,8858673901641
CAT010,กล่อง,ตะปูคอนกรีต FST20 HI-TOP,,180,24,8858673901658
CAT010,กล่อง,ตะปูคอนกรีต FST25 HI-TOP,,200,24,8858673901665
CAT010,กล่อง,ตะปูคอนกรีต FST30 HI-TOP,,220,24,8858673901672
CAT010,กล่อง,ตะปูคอนกรีต FST35 HI-TOP,,240,24,8858673901689
CAT010,กล่อง,ตะปูคอนกรีต FST40 HI-TOP,,260,24,8858673901696
CAT010,กล่อง,ตะปูคอนกรีต FST45 HI-TOP,,270,24,8858673901702
,,,,,,
CAT008,เส้น,รางพลาสติก 2.5 เมตร,,45,20,
CAT008,ชุด,ล้อพลาสติก,,35,20,
CAT008,เส้น,รางล่าง ความยาว 2 เมตร,,140,20,
CAT008,เส้น,รางล่าง ความยาว 3 เมตร,,210,20,
CAT008,เส้น,รางล่าง ความยาว 4 เมตร,,280,20,
CAT008,เส้น,รางล่าง ความยาว 6 เมตร,,420,20,
CAT008,เส้น,รางเล็ก ความยาว 2 เมตร,,100,20,
CAT008,เส้น,รางเล็ก ความยาว 3 เมตร,,150,20,
CAT008,เส้น,รางเล็ก ความยาว 4 เมตร,,200,20,
CAT008,เส้น,รางเล็ก ความยาว 6 เมตร,,300,20,
CAT008,เส้น,รางเลื่อน เฮเฟเล่ ความยาว 2 เมตร,,520,20,
CAT008,เส้น,รางเลื่อน เฮเฟเล่ ความยาว 3 เมตร,,780,20,
CAT008,เส้น,รางเลื่อน เฮเฟเล่ ความยาว 4 เมตร,,1040,20,
CAT008,เส้น,รางเลื่อน เฮเฟเล่ ความยาว 6 เมตร,,1560,20,
CAT008,เส้น,รางเลื่อน โมเดิร์นฟอร์ม ความยาว 2 เมตร,,520,20,
CAT008,เส้น,รางเลื่อน โมเดิร์นฟอร์ม ความยาว 3 เมตร,,780,20,
CAT008,เส้น,รางเลื่อน โมเดิร์นฟอร์ม ความยาว 4 เมตร,,1040,20,
CAT008,เส้น,รางเลื่อน โมเดิร์นฟอร์ม ความยาว 6 เมตร,,1560,20,
CAT008,เส้น,รางเลื่อน แพนสยาม ความยาว 2 เมตร,,460,20,
CAT008,เส้น,รางเลื่อน แพนสยาม ความยาว 3 เมตร,,690,20,
CAT008,เส้น,รางเลื่อน แพนสยาม ความยาว 4 เมตร,,920,20,
CAT008,เส้น,รางเลื่อนแพนสยาม ความยาว 6 เมตร,,1380,20,
,,,,,,
CAT008,กล่อง,ลูกล้อรางเลื่อนเล็ก ปิรามิด 45 กิโลกรัม,,200,12,8859024914068
CAT008,กล่อง,ลูกล้อรางเลื่อน เฮเฟเล่ 60 กิโลกรัม,,590,12,8855233008345
CAT008,กล่อง,ลูกล้อรางเลื่อน เฮเฟเล่ 100 กิโลกรัม,,890,12,8855233008352
CAT008,กล่อง,อุปกรณ์บานเฟี้ยม 2 บาน เฮเฟเล่ 50 กิโล,499.72.077,950,12,8855233008369
CAT008,กล่อง,อุปกรณ์บานเฟี้ยม 3 บาน เฮเฟเล่ 30 กิโล,499.72.067,1400,12,8858712403266
CAT008,กล่อง,อุปกรณ์บานเฟี้ยม 4 บาน เฮเฟเล่ 30 กิโล,499.72.068,1600,12,8858712400043
CAT008,กล่อง,อุปกรณ์บานเฟี้ยม 6 บาน เฮเฟเล่ 30 กิโล,499.72.069,1950,12,8855233038236
CAT008,กล่อง,อุปกรณ์บานเฟี้ยม 2 บาน แพนสยาม 100 กิโล,PRO-SDZ007,450,12,
CAT008,กล่อง,อุปกรณ์บานเลื่อน แพนสยาม 60 กิโล,PRO-SDZ005,400,12,
CAT008,กล่อง,อุปกรณ์บานเลื่อน แพนสยาม 100 กิโล,PRO-SDZ006,490,12,
CAT008,กล่อง,อุปกรณ์บานเฟี้ยม 4 บาน ปิรามิด 30 กิโล,,550,12,
CAT008,ชุด,อุปกรณ์บานเลื่อน โมเดิร์นฟอร์ม 40 กิโล,,200,12,8858808815027
CAT008,กล่อง,อุปกรณ์บานเลื่อน โมเดิร์นฟอร์ม 60 กิโล,HD-JS-60-PLUS,400,12,8858808799914
CAT008,ชุด,กุญแจบานเลื่อน เบอรี่,,590,12,
CAT008,ชุด,กุญแจบานเลื่อน เฮเฟเล่,499.65.014,990,12,8859543016168
CAT008,กล่อง,โช๊คประตูแบบฝังพื้น เปิดสองทาง เฮเฟเล่,,1960,12,8859543003434
CAT008,ชุด,โช๊คประตู COLT 60 กิโล,รุ่น DC161,790,12,
CAT008,ชุด,โช๊คประตู เฮเฟเล่ 60 กิโล,489.30.011,1100,12,8855233031640
,,,,,,
CAT009,ชุด,ก้านบิดประตู COLT สีดำแป้นเหลี่ยม,TL2648 SQUARE ET MB,790,10,8859014952520
CAT009,ชุด,ก้านบิดประตู COLT สีเงินแป้นเหลี่ยม,BTL2818 ET SN,790,10,8859014949568
CAT009,ชุด,ก้านบิดประตู COLT สีเงินแป้นกลม,BTL1815 ET SN,790,10,8859014948660
CAT009,ชุด,ก้านบิดประตู COLT สีดำแป้นกลม,TL1649 ROUND ET MB,790,10,8859014952513
,,,,,,
CAT006,ปี๊บ,กาวยาง Dunlop สีแดง,,2590,5,
CAT006,ปี๊บ,กาวยาง Dunlop สีเขียว,,2250,5,
CAT006,ปี๊บ,กาวยาง MPP สีแดง,,1450,5,8859339191215
CAT006,ปี๊บ,กาวยาง MPP ชนิดพ่น,,1450,5,
CAT006,ปี๊บ,ทินเนอร์ ยี่ห้อไซโก้,,800,10,
CAT006,ปี๊บ,แอลกอฮอล์,,550,10,
CAT006,ปี๊บ,ทินเนอร์ โอเชี่ยน,,900,10,
CAT006,ปี๊บ,ทินเนอร์ K STAR,,750,10,
CAT006,ปี๊บ,น้ำมันสน,,750,10,
,,,,,,
CAT006,กล่อง,กาวลาเท็ก TOA 10 กก,,590,10,8850106095071
CAT006,กล่อง,กาวลาเท็ก ATM 10 กก,,590,10,8858776964062
CAT006,กล่อง,กาวลาเท็ก ATM 5 กก,,320,10,8858776964048
,,,,,,
CAT010,กล่อง,สกรู ขนาด 6*1/2 CB,,200,12,
CAT010,กล่อง,สกรู ขนาด 6*3/4,,250,12,
CAT010,กล่อง,สกรู ขนาด 6*2,,275,12,
CAT010,กล่อง,สกรู ขนาด 6*5/8 TPC,,230,12,
CAT010,กล่อง,สกรู ขนาด 6*3/4 TPC,,250,12,
CAT010,กล่อง,สกรู ขนาด 6*1 HI-TOP,,300,12,
CAT010,กล่อง,สกรู ขนาด 7*1 HI-TOP,,370,12,
CAT010,กล่อง,สกรู ขนาด 7*1 1/2 HI-TOP,,520,12,
CAT010,กล่อง,สกรู ขนาด 7*1 1/4 HI-TOP,,450,12,
CAT010,กล่อง,สกรู ขนาด 7*2 HI-TOP,,340,12,
CAT010,กล่อง,สกรู ขนาด 7*2 1/2 HI-TOP,,235,12,
CAT010,กล่อง,สกรู ขนาด 7*5/8 HI-TOP,,270,12,
CAT010,กล่อง,สกรู ขนาด 7*3/4 HI-TOP,,300,12,
CAT010,กล่อง,สกรู ขนาด 8*1 HI-TOP,,450,12,
CAT010,กล่อง,สกรู ขนาด 8*1 1/4 HI-TOP,,520,12,
CAT010,กล่อง,สกรู ขนาด 8*2 HI-TOP,,380,12,
CAT010,กล่อง,สกรู ขนาด 8*2 1/2 TPC,,450,12,
CAT010,กล่อง,สกรู ขนาด 8*3 HI-TOP,,350,12,
CAT010,กล่อง,สกรูปลายสว่าน ขนาด 8*3/4 HT,,250,12,
CAT010,กล่อง,สกรูปลายสว่าน ขนาด 8*1 HT,,300,12,
CAT010,กล่อง,สกรูปลายสว่าน ขนาด 8*1 1/4 TPC,,450,12,
CAT010,กล่อง,สกรูปลายสว่าน ขนาด 8*1 1/2 HT,,450,12,
CAT010,กล่อง,สกรูปลายสว่าน ขนาด 8*2 TPC,,400,12,
CAT010,กล่อง,สกรูปลายสว่าน ขนาด 8*2 1/2 แพนสยาม,,225,12,
CAT010,กล่อง,ตะปูยิงฝ้า ขนาด 1.1/2 D.W. SCREWS,,90,12,
CAT010,กล่อง,ตะปูยิงฝ้า ขนาด 1 นิ้ว D.W. SCREWS,,80,12,
CAT010,กล่อง,ตะปูยิงฝ้า ขนาด 3/4 D.W. SCREWS,,80,12,
CAT010,กล่อง,สกรูปลายสว่าน หัวเหลี่ยมเกลียว 2ชั้น TPC,,300,12,
CAT010,กล่อง,สกรูปลายสว่านหัวโดม ขนาด 8*2 ขาว แพนสยาม,,320,12,
CAT010,กล่อง,สกรูปลายสว่านหัวร่ม ขนาด 8*1 1/2 ขาว RHN,,450,12,
CAT010,กล่อง,สกรูปลายสว่านหัวเวเฟอร์ ขนาด 8*1 1/4 ขาว HT,,450,12,
CAT010,กล่อง,สกรูปลายสว่านหัวโดม ขนาด 8*1 ขาว M,"SD #8-18x1"" D",660,12,
CAT010,กล่อง,สกรูปลายสว่านหัวโดม ขนาด 8*3/4 ขาว แพนสยาม,,525,12,641100000685
CAT010,กล่อง,สกรูปลายสว่านหัวเวเฟอร์ ขนาด 8*1/2 ขาว HT,,225,12,
CAT010,กล่อง,สกรูปลายสว่านหัวกระทะ ขนาด 8*1/2 S,,435,12,
CAT010,กล่อง,สกรูเกลียว ขนาด 6*1,,300,12,
CAT010,กล่อง,สกรูเกลียว ขนาด 6*3/4,,250,12,
CAT010,กล่อง,สกรูเกลียว ขนาด 6*5/8,,230,12,
CAT010,กล่อง,สกรูเกลียว ขนาด 6*1/2,,200,12,
,,,,,,
CAT013,ถุง,สกรูเกลียว ขนาด 6*1/4 (แบ่ง),,40,5,
CAT013,ตัว,สกรูเกลียว ขนาด 6*5/8 (สองตัว),2ตัว,1,5,
CAT013,ถุง,สกรูเกลียว ขนาด 6*5/8 (แบ่ง),,45,5,
CAT013,ถุง,สกรูเกลียว ขนาด 6*3/4 (แบ่ง),,50,5,
CAT013,ตัว,สกรูเกลียว ขนาด 6*1 (ตัว),3ตัว,2,5,
CAT013,ถุง,สกรูเกลียว ขนาด 6*1 (แบ่ง),,60,5,
CAT013,ตัว,สกรูเกลียว ขนาด 6*1 1/2 (ตัว),,1,5,
CAT013,ตัว,สกรูเกลียว ขนาด 6*1/2 (ตัว),3ตัว,1,5,
CAT013,ถุง,สกรูเกลียว ขนาด 6*1/2 (แบ่ง),,70,5,
CAT013,ถุง,สกรูเกลียว ขนาด 6*2 (แบ่ง),,85,5,
CAT013,ตัว,สกรูเกลียว ขนาด 7*5/8 (สองตัว),2ตัว,1,5,
CAT013,ถุง,สกรูเกลียว ขนาด 7*5/8 (แบ่ง),,45,5,
CAT013,ตัว,สกรูเกลียว ขนาด 7*3/4 (ตัว),2ตัว,1,5,
CAT013,ถุง,สกรูเกลียว ขนาด 7*3/4 (แบ่ง),,50,5,
CAT013,ตัว,สกรูเกลียว ขนาด 7*1 (ตัว),3ตัว,2,5,
CAT013,ถุง,สกรูเกลียว ขนาด 7*1 (แบ่ง),,65,5,
CAT013,ตัว,สกรูเกลียว ขนาด 7*1 1/4 (ตัว),,1,5,
CAT013,ถุง,สกรูเกลียว ขนาด 7*1 1/4 (แบ่ง),,70,5,
CAT013,ตัว,สกรูเกลียว ขนาด 7*1 1/2 (ตัว),,1,5,
CAT013,ถุง,สกรูเกลียว ขนาด 7*1 1/2 (แบ่ง),,90,5,
CAT013,ตัว,สกรูเกลียว ขนาด 7*2 (ตัว),,2,5,
CAT013,ถุง,สกรูเกลียว ขนาด 7*2 (แบ่ง),,100,5,
CAT013,ตัว,สกรูเกลียว ขนาด 7*2 1/2 (ตัว),,2,5,
CAT013,ถุง,สกรูเกลียว ขนาด 7*2 1/2 (แบ่ง),,110,5,
CAT013,ถุง,สกรูเกลียว ขนาด 8*1 (แบ่ง),,70,5,
CAT013,ถุง,สกรูเกลียว ขนาด 8*1 1/4(แบ่ง),,80,5,
CAT013,ตัว,สกรูเกลียว ขนาด 8*1 1/2 (ตัว),,1,5,
CAT013,ถุง,สกรูเกลียว ขนาด 8*1 1/2 (แบ่ง),,100,5,
CAT013,ตัว,สกรูเกลียว ขนาด 8*2 (ตัว),,2,5,
CAT013,ถุง,สกรูเกลียว ขนาด 8*2 (แบ่ง),,120,5,
CAT013,ตัว,สกรูเกลียว ขนาด 8*3 (ตัว),,3,5,
CAT013,ถุง,สกรูเกลียว ขนาด 8*3 (แบ่ง),,130,5,
CAT013,ตัว,สกรูเกลียว ขนาด 8*2 1/2 (ตัว),,2,5,
CAT013,ถุง,สกรูเกลียว ขนาด 8*2 1/2 (แบ่ง),,110,5,
CAT013,ถุง,สกรูปลายสว่าน 7*1 ขาว (แบ่ง),,70,5,
CAT013,ถุง,สกรูปลายสว่าน 7*3/4 ขาว (แบ่ง),,65,5,
CAT013,ถุง,สกรูปลายสว่านหัวโดม 8*2 (แบ่ง),,145,5,
CAT013,ถุง,สกรูปลายสว่านหัวร่ม 8*1 1/2 (แบ่ง),,140,5,
CAT013,ถุง,สกรูปลายสว่านหัวเวเฟอร์ 8*1 1/4 ขาว (แบ่ง),,110,5,
CAT013,ถุง,สกรูปลายสว่าน 8*1 (แบ่ง),,90,5,
CAT013,ถุง,สกรูปลายสว่าน 8*3/4 (แบ่ง),,80,5,
CAT013,ถุง,สกรูปลายสว่าน 8*1/2 (แบ่ง),,60,5,
CAT013,ถุง,สกรูปลายสว่าน 8*2 รุ้ง(แบ่ง),,120,5,
CAT013,ถุง,สกรูปลายสว่าน 8*1 1/2 รุ้ง(แบ่ง),,110,5,
CAT013,ถุง,สกรูปลายสว่าน 8*1 1/4 รุ้ง(แบ่ง),,100,5,
CAT013,ถุง,สกรูปลายสว่าน 8*1 รุ้ง(แบ่ง),,80,5,
CAT013,ถุง,สกรูปลายสว่าน 8*3/4 รุ้ง(แบ่ง),,65,5,
CAT013,ถุง,สกรูปลายสว่าน 8*1/2 รุ้ง(แบ่ง),,65,5,
CAT013,ถุง,สกรูปลายสว่าน รุ้ง(แบ่ง),,125,5,
CAT013,ถุง,สกรูปลายสว่าน รุ้ง(แบ่ง),,135,5,
CAT013,ถุง,สกรูปลายสว่าน รุ้ง(แบ่ง),,150,5,
CAT013,ตัว,สกรูปลายสว่านEPDM 10*12*4,,5,5,
CAT013,ตัว,สกรูปลายสว่านEPDM 10*12*3,,4,5,
CAT013,ตัว,สกรูปลายสว่านชุบดาโก้ 14*48,,4,5,
CAT013,ตัว,สกรูปลายสว่านEPDM 10*12*3 1/2,,5,5,
CAT013,ตัว,สกรูปลายสว่านEPDM 10*12*2,,4,5,
CAT013,ถุง,สกรูไม้ฝาปลายแหลม 1นิ้ว,,70,5,
CAT013,ถุง,สกรูไม้ฝาปลายแหลม 2 1/2นิ้ว,,110,5,
CAT013,ถุง,สกรูไม้ฝาปลายแหลม 1 1/2นิ้ว,,75,5,
,,,,,,
CAT008,เส้น,ราวกลม 1 เมตร,,135,10,
CAT008,เส้น,ราวกลม 2 เมตร,,270,10,
CAT008,เส้น,ราวกลม 3 เมตร,,405,10,
CAT008,เส้น,ราวกลม 4 เมตร,,540,10,
CAT008,เส้น,ราวกลม 6 เมตร (ตัดครั้งเดียว),,650,10,
CAT008,เส้น,ราวรูปไข่ 1 เมตร,,135,10,
CAT008,เส้น,ราวรูปไข่ 2 เมตร,,270,10,
CAT008,เส้น,ราวรูปไข่ 3 เมตร,,405,10,
CAT008,เส้น,ราวรูปไข่ 4 เมตร,,540,10,
CAT008,เส้น,ราวรูปไข่ 6 เมตร (ตัดครั้งเดียว),,650,10,
,,,,,,
CAT013,กิโล,ตะปูเฟอร์ ขนาด 5/8*19,,110,5,
CAT010,ลัง,ตะปูเฟอร์ ขนาด 5/8*19,,1100,5,
CAT013,กิโล,ตะปูเฟอร์ ขนาด 1*18,,110,5,
CAT010,ลัง,ตะปูเฟอร์ ขนาด 1*18,,960,5,
CAT013,กิโล,ตะปูเฟอร์ ขนาด 1 1/4*17,,100,5,
CAT010,ลัง,ตะปูเฟอร์ ขนาด 1 1/4*17,,940,5,
CAT013,กิโล,ตะปูเฟอร์ ขนาด 1 1/2*16,,100,5,
CAT010,ลัง,ตะปูเฟอร์ ขนาด 1 1/2*16,,940,5,
CAT013,กิโล,ตะปูเฟอร์ ขนาด 2*14,,90,5,
CAT010,ลัง,ตะปูเฟอร์ ขนาด 2*14,,890,5,
CAT013,กิโล,ตะปูเฟอร์ ขนาด 2 1/2*13,,90,5,
CAT010,ลัง,ตะปูเฟอร์ ขนาด 2 1/2*13,,890,5,
CAT013,กิโล,ตะปูหัวโต 1*16,,80,5,
CAT010,ลัง,ตะปูหัวโต 1*16,,940,5,
CAT013,กิโล,ตะปูหัวโต 2 1/2*10,,80,5,
CAT010,ลัง,ตะปูหัวโต 2 1/2*10,,890,5,
CAT013,กิโล,ตะปูหัวโต 3*10,,80,5,
CAT010,ลัง,ตะปูหัวโต 3*10,,890,5,
CAT013,กิโล,ตะปูหัวโต 2*13,,90,5,
CAT010,ลัง,ตะปูหัวโต 2*13,,890,5,
,,,,,,
CAT014,แผง,ดอกสว่าน 5/32 มงกุฏ,,50,10,
CAT014,แผง,ดอกสว่าน 1/4 มงกุฏ,,80,10,
CAT014,แผง,ดอกสว่าน 5/64 มงกุฏ,,40,10,
CAT014,แผง,ดอกสว่าน 1/8 มงกุฏ,,60,10,
CAT014,แผง,ดอกสว่าน 9/64 มงกุฏ,,50,10,
CAT014,แผง,ดอกสว่าน 5/16 มงกุฏ,,120,10,
CAT014,แผง,ดอกสว่าน 3/8 มงกุฏ,,180,10,
CAT014,แผง,ดอกสว่าน 1/2 มงกุฏ,,280,10,
CAT013,ดอก,ดอกสว่าน 19/64 CROWN,,60,10,
CAT013,ดอก,ดอกสว่าน 1/4 CROWN,,50,10,
CAT013,ดอก,ดอกสว่าน 7/32 CROWN,,45,10,
CAT013,ดอก,ดอกสว่าน 15/64 CROWN,,50,10,
CAT013,ดอก,ดอกสว่าน 13/64 CROWN,,35,10,
CAT013,ดอก,ดอกสว่าน 3/32 CROWN,,20,10,
CAT013,ดอก,ดอกสว่าน 7/64 CROWN,,25,10,
CAT013,ดอก,ดอกสว่าน 1/16 CROWN,,20,10,
CAT014,ชิ้น,ดอกสว่านโรตารี่ 5.5*160 ตรามงกุฏ,,85,10,745760846344
CAT014,ชิ้น,ดอกสว่านโรตารี่ 6.5*160 ตรามงกุฏ,,85,10,745760846382
CAT014,ชิ้น,ดอกสว่านโรตารี่ 6.5*110 ตรามงกุฏ,,75,10,745760846375
CAT014,ชิ้น,ดอกสว่านโรตารี่ 5.5*110 ตรามงกุฏ,,75,10,745760846337
CAT014,ชิ้น,ดอกสว่าน 3.5 มิล HH WERKZEUG,10.100012,50,10,8859566100127
CAT014,ชิ้น,ดอกสว่าน 4 มิล HH WERKZEUG,10.100013,50,10,8859566100134
CAT014,ชิ้น,ดอกสว่าน 6.5 มิล HH WERKZEUG,10.100018,80,10,8859566100189
CAT014,ชิ้น,ดอกสว่าน 8 มิล HH WERKZEUG,10.100021,120,10,8859566100219
CAT014,ชิ้น,ดอกสว่านเจาะคอนกรีต 6*160 META,,75,10,
CAT014,ชิ้น,ดอกสว่านเจาะคอนกรีต 6.5*160 META,,75,10,
CAT014,ชิ้น,ดอกสว่านเจาะปูน 6*110 HH WERKZEUG,,95,10,8859566101520
CAT014,ชิ้น,ดอกสว่านเจาะปูน 6.5*160 HH WERKZEUG,,85,10,8859566101759
CAT014,ชิ้น,ดอกสว่านเจาะปูน 8*160 HH WERKZEUG,,95,10,8859566101773
CAT013,ใบ,ใบเลื่อยจิ๊กซอว์ MX144D 4มิล MAXMA (แบ่ง),,25,10,
CAT014,แผง,ใบเลื่อยจิ๊กซอว์ MX144D 4มิล MAXMA,,100,10,8858989564035
CAT013,ใบ,ใบเลื่อยจิ๊กซอว์ MX#3 2.8มิล MAXMA (แบ่ง),,25,10,
CAT014,แผง,ใบเลื่อยจิ๊กซอว์ MX#3 2.8มิล MAXMA,,100,10,8858989564066
CAT013,ใบ,ใบเลื่อยจิ๊กซอว์ MX118A 1.2มิล MAXMA (แบ่ง),,25,10,
CAT014,แผง,ใบเลื่อยจิ๊กซอว์ MX118A 1.2มิล MAXMA,,100,10,8858989564004
CAT013,ใบ,ใบเลื่อยจิ๊กซอว์ MX101AO 1.4มิล MAXMA (แบ่ง),,25,10,
CAT014,แผง,ใบเลื่อยจิ๊กซอว์ MX101AO 1.4มิล MAXMA,,100,10,8858989564059
CAT013,ใบ,ใบเลื่อยจิ๊กซอว์ MX119BO 2มิล MAXMA (แบ่ง),,25,10,
CAT014,แผง,ใบเลื่อยจิ๊กซอว์ MX119BO 2มิล MAXMA,,100,10,8858989564042
CAT013,ใบ,ใบเลื่อยจิ๊กซอว์ MX111C 3มิล MAXMA (แบ่ง),,25,10,
CAT014,แผง,ใบเลื่อยจิ๊กซอว์ MX111C 3มิล MAXMA,,100,10,8858989503829
CAT013,ใบ,ใบเลื่อยจิ๊กซอว์ 8009 EXTRA (แบ่ง),,45,10,
CAT014,แผง,ใบเลื่อยจิ๊กซอว์ 8009 EXTRA,,170,10,
CAT013,ใบ,ใบเลื่อยจิ๊กซอว์ 8701 EXTRA (แบ่ง),,35,10,
CAT014,แผง,ใบเลื่อยจิ๊กซอว์ 8701 EXTRA,,100,10,
CAT014,กล่อง,แปรงถ่านเครื่องเจียร CB-51A MAKITA,,100,10,8838135776
CAT014,กล่อง,แปรงถ่านเครื่องเจียร CB-153 MAKITA,00-00-153-88,100,10,8858894001588
CAT014,กล่อง,แปรงถ่านเครื่องเจียร CB-100 MAKITA,00-00-100-88,100,10,8858894099592
CAT010,ตัว,หมุดปิดหัวน๊อต ขนาด 2.5 เซน,,30,10,
CAT013,ชิ้น,หมุดปิดหัวน๊อต ขนาด 2 เซน,,19,10,
CAT013,ชิ้น,หมุดปิดหัวน๊อต ขนาด 1.5 เซน,,16,10,
CAT013,ชิ้น,หมุดปิดหัวน๊อต ขนาด 1.2 เซน,,14,10,
CAT014,ถุง,หมุดปิดหัวน๊อตพลาสติก,,75,10,
CAT013,ชิ้น,หมุดปิดหัวน๊อตพลาสติก (แบ่ง),,1,10,
CAT014,ถุง,กระดุมพลาสติก,,65,10,
CAT013,ชิ้น,ฉากครอบมุมโต๊ะ สแตนเลส,,20,10,
CAT013,ชิ้น,ลูกยางปุ่มรับชั้น,,1,10,
CAT014,ถุง,ปุ่มรับชั้น ตัวผู้,,350,10,
CAT014,ถุง,ปุ่มรับชั้น ตัวเมีย,,250,10,
CAT013,ตัว,ปุ่มรับชั้น ตัวผู้,,4,10,
CAT013,ตัว,ปุ่มรับชั้น ตัวเมีย,,3,10,
CAT014,ถุง,ปุ่มรับชั้น ตัวผู้ โอริง,,350,10,
CAT014,ถุง,ปุ่มรับชั้น ตัวเมีย โอริง,,250,10,
CAT013,ตัว,ปุ่มรับชั้น ตัวผู้ โอริง,,4,10,
CAT013,ตัว,ปุ่มรับชั้น ตัวเมีย โอริง,,3,10,
CAT013,ตัว,ปุ่มรับชั้นเล็ก,,2,10,
CAT013,ตัว,ตะขอ 1 1/4,,5,10,
CAT013,ตัว,ตะขอ 1 1/4,,3,10,
CAT013,ตัว,ตะขอ 1 1/4,,3,10,
CAT013,ตัว,ตะขอ 1 1/2,,5,10,
CAT013,ตัว,ตะขอเบ็ด 1 ,,3,10,
CAT013,ตัว,ตะขอเบ็ด 3/4,,3,10,
,,,,,,
CAT014,ตัว,แป้นรับราวกลม แบบสวม,,12,20,
CAT014,ตัว,แป้นรับราวกลม แบบวาง,,16,20,
CAT014,คู่,แป้นรับราวกลม แบบหนา,,60,20,
CAT014,ตัว,แป้นรับราววงรี ขนาดเล็ก,,10,20,
CAT014,ตัว,แป้นรับราววงรี,,16,20,
CAT014,อัน,ตุ๊กตา ราวรี แพนสยาม,,60,20,
CAT014,คู่,ตุ๊กตา ราวรี,,20,20,
CAT014,อัน,ตุ๊กตา ราวกลม แบบบาง,,20,20,
CAT014,อัน,ตุ๊กตาสวมก้นทึบ ราวกลม,,60,20,
CAT014,อัน,ตุ๊กตา ราวกลม แบบหนา,,60,20,
CAT014,คู่,ตุ๊กตากลม 6 นิ้ว L (คู่ละ),,150,20,
,,,,,,
CAT015,ตัว,กลอนแบนแป้นเหลี่ยม,,10,20,
CAT015,ตัว,กลอนแบน 2.5 นิ้ว,,10,20,
CAT015,ตัว,กลอนแบนสีทอง 6เซน,,60,20,
CAT015,ตัว,กลอนแบนสีทอง 7.3เซน,,60,20,
CAT015,ตัว,บานพับถอดได้ ซ้าย,,20,20,
CAT015,ตัว,บานพับถอดได้ ขวา,,20,20,
CAT015,ถุง,หมุดลอย 4 เซน PP,,75,20,
CAT015,ถุง,หมุดลอย PP 1ชุด 2ตัว,,150,20,
CAT015,ถุง,หมุดปิดน๊อต 1ชุด 4ตัว,,150,20,
CAT015,ตัว,กดกระเด้ง สีขาว PP 001,,60,20,
CAT015,ตัว,กดกระเด้ง สีเทา PP 001,,60,20,
CAT015,ตัว,กดกระเด้ง สีเทา PP 002,,60,20,
CAT015,ตัว,กดกระเด้ง สีเทา 003,,55,20,
CAT015,ตัว,กดกระเด้ง สีดำ ปิรามิด 004,,60,20,
CAT015,ตัว,กดกระเด้งคู่ สีน้ำตาล ปิรามิด 005,,50,20,
CAT015,ตัว,กดกระเด้ง สีดำ ปิรามิด 005,,25,20,
CAT015,ตัว,กดกระเด้งเดี่ยว สีขาว 005,,25,20,
CAT015,ตัว,ก้ามปู JAPAN,,10,20,
CAT015,ตัว,ก้ามปูเล็ก,,10,20,
CAT015,ตัว,แม่เหล็กคู่ ,,30,20,
CAT015,ตัว,แม่เหล็กเดี่ยว สีขาว,,20,20,
CAT015,ตัว,แม่เหล็กเดี่ยว สีน้ำตาล,,20,20,
CAT015,ตัว,แม่เหล็กเดี่ยว ตัวเล็ก สีขาว,,10,20,
CAT015,ตัว,แม่เหล็กเดี่ยว ตัวเล็ก สีน้ำตาล,,10,20,
,,,,,,
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x1/4 Hi-Top,HPP 20101,250,5,8858673940664
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x5/16 Hi-Top,HPP 20102,295,5,8858673940671
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x3/8 Hi-Top,DY 20103,295,5,8858673907544
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x1/2 Hi-Top,HPP 20104,295,5,8858673940695
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/2x1/4 Hi-Top,DY 20105,295,5,8858673907568
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/2x5/16 Hi-Top,DY 20106,295,5,8858673907575
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/2x3/8x1-1/4 Hi-Top,DY 10310,250,5,8858673908237
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/2x1/2x1-1/4 Hi-Top,HPP10311,250,5,8858673940565
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x3/4x3/4 Hi-Top,DY 10206,250,5,8858673907179
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x5/8x20 Hi-Top,DY10205,250,5,8858673907162
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x1/2x20 Hi-Top,DY 10204,200,5,8858673907155
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x3/8x3/4 Hi-Top,DY 10203,200,5,8858673907148
CAT011,ชิ้น,ดอกเราท์เตอร์ 1/4x5/16x3/4 Hi-Top,HPP 10202,200,5,8858673940435
